iteration,device,local,remote,total
127,Device4,192,45,147
127,Device5,192,0,192
128,Device1,64,16,48
128,Device2,128,67,61
128,Device3,192,-128,320
128,Device4,192,45,147
128,Device5,192,0,192
129,Device1,64,16,48
129,Device2,128,67,61
129,Device3,192,-129,321
129,Device4,192,46,146
129,Device5,192,0,192
130,Device1,64,16,48
130,Device2,128,68,60
130,Device3,192,-129,321
130,Device4,192,46,146
130,Device5,192,-1,193
131,Device1,64,16,48
131,Device2,128,68,60
131,Device3,192,-129,321
131,Device4,192,47,145
131,Device5,192,-2,194
132,Device1,64,16,48
132,Device2,128,68,60
132,Device3,192,-129,321
132,Device4,192,48,144
132,Device5,192,-3,195
133,Device1,64,17,47
133,Device2,128,68,60
133,Device3,192,-130,322
133,Device4,192,48,144
133,Device5,192,-3,195
134,Device1,64,17,47
134,Device2,128,68,60
134,Device3,192,-130,322
134,Device4,192,49,143
134,Device5,192,-4,196
135,Device1,64,17,47
135,Device2,128,68,60
135,Device3,192,-130,322
135,Device4,192,50,142
135,Device5,192,-5,197
136,Device1,64,17,47
136,Device2,128,68,60
136,Device3,192,-130,322
136,Device4,192,51,141
136,Device5,192,-6,198
